Publication Type,Title,Authors,Creation Date
Presentation,Diesel Particulate in Mines - Current Knowledge and Solutions,"Grenier, Michel",2015-04-14
Presentation,Hazard Classification of Mining Products for the Protection of the Marine Environment,"Huntsman-Mapila, Philippa",2015-04-01
Presentation,Reclaiming Acidic Tailings with Organic Covers for Biomass Production:  A Field Case Study,"Tisch, Bryan",2015-03-17
Presentation,Recent Advances in Green Mining Technologies in Canada,"Habib, Magdi",2014-10-31
Presentation,Reducing Diesel Particulate Exposure - Lessons Learned in the Mining Sector,"Grenier, Michel",2014-10-24
Presentation,CCRMP Highlights for 2013-2014,"Leaver, Maureen",2014-10-14
Presentation,Observations on the Data from the Preparation of Certified Reference Materials and Proficiency Testing Program – Mineral Analysis Laboratories (PTP-MAL) at CCRMP,"Desroches, Diane",2014-09-22
Presentation,Green Mines Green Energy: Impact of 6 years of organic cover on metal mobility in acidic tailings,"Beauchemin, Suzanne",2014-06-05
Presentation,Canada's National Orphaned and Abandoned Mines Initiative (NOAMI),"Tremblay, Gilles",2014-05-08
Presentation,Marine Transformation/Dissolution Project Proposal,"Huntsman-Mapila, Philippa",2014-04-03
Presentation,Ventilation on Demand,"Hardcastle, Stephen",2014-04-03
Presentation,Reductive Dissolution of Goethite and Mobilization of Arsenic from Mine Tailings,D. Paktunc,2014-03-03
Presentation,Hazard Classification for Market Access:  CanmetMINING’s Transformation/Dissolution Research,P. Huntsman-Mapila,2014-02-14
Presentation,"Hazard Classification of Metals, Metal Compounds and Alloys for Market Access:  CanmetMINING’s Transformation/Dissolution Research",P. Huntsman-Mapila,2014-02-14
Presentation,Science Extending the Reach of Policy:  Hazard Classification for Market Access,P. Huntsman-Mapila,2014-02-14
Presentation,Mineralogical Controls on Arsenic Mobilization from Mine Wastes,D. Paktunc,2014-01-27
Presentation,Propriétés du Shale d'Utica Région de St-Édouard - Forage F1,D. Labrie,2013-12-23
Presentation,Evaluating their Potential Sources of Stable C and Inorganic Nutrients,"Clemente, Beauchemin, MacKinnon et al.",2013-11-19
Presentation,Rehabilitation of acidic mine tailings for biofuel production: from biosolids to biochar amendments,"Beauchemin, Tisch, Clemente et al.",2013-11-19
Presentation,Chronic Classification of Nickel Concentrates Based on Transformation/Dissolution Characteristics,J.M. Skeaff,2013-11-13
Presentation,Diesel et ventilation – Défis et bonnes pratiques,M. Grenier,2013-10-09
Presentation,Effect of In-use DOCs on NO2 Emission in the Underground Operation,M. Gangal,2013-10-04
Presentation,Engine Certification Testing and Ventilation Rates for Tier 4 Update,"B. Rubeli, M. Gangal",2013-10-04
Presentation,CCRMP Highlights 2012 to 2013,"M.E. Leaver, J. Salley",2013-09-17
Presentation,Observations on the Data from the Preparation of Certified Reference Materials and Proficiency Testing Program – Mineral Analysis Laboratories (PTP-MAL) at CCRMP,"M.E. Leaver, J. Salley",2013-09-17
Presentation,"Défis reliés à l’utilisation du diesel dans les mines,  Presenté au Comité de santé et prévention des accidents - AMQ",M. Grenier,2013-09-12
Presentation,Diesel Mobile Equipment in Mines,"Grenier, Michel",2013-08-30
Presentation,CanmetMINING's Marine Transformation/Dissolution Project,P. Huntsman-Mapila,2013-08-29
Presentation,Validation of the UN T/DP for Freshwater Media and Implications for Validation of a Marine T/DP,J.M. Skeaff,2013-08-29
Presentation,Determination of Select Elements at PPB Levels in Marine Media by Chelation,M. Pawlak,2013-08-06
Presentation,"Impact of Humid Environment on Pb, Zn, Co and Se Bioaccessibilities in Indoor Dust",S. Beauchemin,2013-07-02
Conference Proceedings,Ground support loading monitored with Rock Bolt Sensor (RBS™) and relationship to nearby production and seismicity,"Smith-Bougher L (main author), Anderson Z,  Levesque D, Kruger S, Quenneville Y, Jalbout A, Szirti J",2020-10-15
Conference Proceedings,Auxiliary fan energy consumption profile under ventilation control strategies,Enrique Acuna-Duhart; Michelle Levesque,2020-09-14
Conference Proceedings,Auxiliary fan selection considering purchasing and energy costs based on fan curves,"Enrique Acuna-Duhart, Michelle Levesque, Juan Pablo Hurtado",2020-09-14
Conference Proceedings,OPTIMIZATION OF RARE EARTH ELEMENTS LEACHING FROM A NECHALACHO CONCENTRATE SAMPLE,"Maziar E. Sauber, Antonio Di Feo, and Tesfaye Negeri",2020-06-24
Conference Proceedings,Interpretation of Peak and Residual Strength of Induced Tension Fractures in Sandstone by Single-Stage and Multi-Stage Direct Shear Tests,Steven Gaines,2020-04-17
Conference Proceedings,QUANTIFYING THE EXTENT OF METALLIZATION FOLLOWING THE DIRECT REDUCTION OF CHROMITE (DRC),"Nail R. Zagrtdenov, Dogan Paktunc, Eleanor Berryman",2020-03-09
Conference Proceedings,LOW GRADE RARE EARTH ORE PROCESSING ALTERNATIVES,Tesfaye Negeri ,2020-03-04
Conference Proceedings,MINERAL PROCESSING FLOWSHEET APPROACHES FOR THE ASHRAM RARE EARTH AND FLUORSPAR DEPOSIT,"Tesfaye Negeri, Maziar Sauber and Smith ",2020-03-04
Conference Proceedings,Ferrochrome smelter dusts from a pilot-scale DC Electric Arc Furnace,"Eleanor Berryman, Dogan Paktunc, Graeme Goodall",2020-02-26
Conference Proceedings,Recovery of battery metals (Ni and Co) from pyrrhotite tailings,"Rory Cameron, Rolando Lastra, Yves Thibault, Jean-Michel Bondy, John Chaulk, and Doug Go",2020-02-04
Conference Proceedings,Acid soaking water leaching of REE bearing ore samples,"Chen Xia,Wesley Griffith, Ceferino Soriano,Eden Barry",2020-01-06
Conference Proceedings,OPTIMIZATION OF RARE EAERTH ELEMENTS LEACHING FROM A NECHALACHO CONCENTRATE SAMPLE,Maziar E. Sauber,2020-01-02
Conference Proceedings,The effects of water recycling on nickel-copper ore at a North American concentrator,"TonyDi Feo, Konstantin Volchek, Lucie Morin and Andre Demers",2019-12-20
Conference Proceedings,Electrodialysis Separation of Light Rare Earth Elements from Their Binary Solutions,"Sanaz Mosadeghsedghi, Maziar Sauber, Soha Issa, and Saviz Mortazavi",2019-12-17
Conference Proceedings,"Process scale-up for uranium, mercury and cesium recovery from surrogate radioactive cemented waste.","Nicolas Reynier, Maxime Courchesne, Cheryl Laviolette, André Demers, Rolando Lastra, Mark Chapman",2019-11-20
Conference Proceedings,Supercritical Fluid Extraction of Rare Earth Elements from a Canadian Ore,"Jiakai Zhang, Kimberly Watada, Maziar E. Sauber, and Gisele Azimi",2019-09-23
Conference Proceedings,Observations on CCRMP and PTP-MAL Data,Maureen Leaver and Diane Desroches,2019-08-21
Conference Proceedings,Optimizing Zr and REE Recovery from Zircon through a Better Understanding of the Mechanisms Governing its Decomposition in Alkali Media,"Yves Thibault, Joanne Gamage McEvoy, Dominique Duguay",2019-08-13
Conference Proceedings,Recycling of Thickener Tank Overflow Stream at a North American Concentrator,"Tony Di Feo, Saviz Mortazavi, Lucie Morin and Andre  Demers ",2019-08-13
Conference Proceedings,The Effects of Metal-Bearing Mine Dust on Surface Water Chemistry,"Philippa Huntsman, Carrie Rickwood",2019-07-23
Conference Proceedings,Development and testing of the CMIN-BCM for monitoring borehole closure in underground environments,"Steven Gaines, Ken Judge, Denis Labrie",2019-07-11
Conference Proceedings,A new paradigm in ground support monitoring through ultrasonic monitoring of clusters of rock bolts,"Roger Lacroix, Renée Royée",2019-07-04
Conference Proceedings,Residual Properties Estimated from Post-Peak Triaxial Unloading: Case Study of a Hard Rock Mine Site,"Steven Gaines, Gabe Walton, Denis Labrie",2019-04-29
Conference Proceedings,"Challenges and Best Practices in Metal Leaching and Acid Rock Drainage, Proceedings of 2018 BCMEND ML/ARD Workshop",Bill Price,2019-02-22
Conference Proceedings,"Potential Biologicea Effects of Subaqueous Disposal of Mine Tailings, in Price (ed) 25th British Columbia MEND Metal Leaching/Acid Rock Drainage Workshop, Vancouver, 2018",Bill Price,2019-02-22
Conference Proceedings,Le profil energetique du secteur minier canadien,Michelle Levesque,2019-01-16
Conference Proceedings,The Feasibility of Separation of Lanthanum and Europium by use of electrodialysis,"Saviz Mortazavi, Sanaz Mosadeghsedghi, Lucie Morin, Aartee Khandelwal",2018-12-12
Conference Proceedings,Hydrochloric Acid Regeneration from Hydrometallurgical Chloride Salt Wastes - A Sustainable Technology,Maziar E. Sauber,2018-11-26
Conference Proceedings,The Feasibility of Separation of Lanthanum and Europium by use of electrodialysis,"Saviz Mortazavi, Sanaz Mosadeghsedghi, Maziar Sauber",2018-11-26
Conference Proceedings,Hydrochloric Acid Regeneration from Hydrometallurgical Chloride Salt Wastes — A Sustainable Technology,Maziar E. Sauber,2018-11-23
Conference Proceedings,Mining Value from Waste Initiative:  Towards a low carbon and circular economy,Janice Zinck,2018-10-15
Conference Proceedings,"Next Steps for Tracking Dust Under a Changing Climate: Coupling Biogeochemistry, Mineralogy, and Remote Sensing to Assess Cumulative Mine Site Impacts","Philippa Huntsman-Mapila, Carrie Rickwood",2018-09-11
Conference Proceedings,Economic benefits for using electric and low emission vehicles in a ventilation-on-demand system,Gary Li,2018-09-07
Conference Proceedings,Simulation of airflow changes in a VOD system and evaluation of energy benefits through VREX modeling  ,Gary Li,2018-06-27
Conference Proceedings,Application of Vacuum Membrane Distillation in Treatment of Mining Effluent Streams - Pilot Study,Saviz Mortazavi,2018-05-30
Conference Proceedings,Reprocessing of Historic Tailings from the Aunor Mine in Timmins,"Terry Cheng, Marcus Tomlinson, Anthony Di Feo, Rolando Lastra",2018-05-30
Conference Proceedings,Organic Covers on sulfidic tailings: Are metals mobilized from the oxidized layer,"Suzanne Beauchemin, Sean Langley, Joyce Clemente, Yves Thibault",2018-05-15
Conference Proceedings,"Microwave-Assisted Acid Digestion for the Determination of Al, Cr, Fe, Mg and Si in Chromite Samples by ICP-OES","Ruiping Wang, Duane Palmer",2018-05-04
Conference Proceedings,Électrification: les bénéfices de l'adoption des véhicules miniers électriques,Michelle Levesque,2018-04-26
Conference Proceedings,Methods for tracking the evolution of refractory REE mineral decomposition in strong acid media,"Joanne Gamage McEvoy, Yves Thibault",2018-04-11
Conference Proceedings,Developing a process to recover rare earth elements and scandium from coal fly ash,"Rory Cameron, Yves Thibault, Rolando Lastra",2018-04-05
Conference Proceedings,Recovery of rare earth elements from coal fly ash and recovery from PLS with IX,"Rory Cameron, Rolando Lastra, Yves Thibault, Nicolas Reynier",2018-04-05
Conference Proceedings,Extraction of Cobalt and Nickel from a Pyrrhotite Rich Tailings Sample Via Bioleaching,"Rory Cameron, Rolando Lastra ",2018-04-04
Conference Proceedings,Radionuclides removeal from Ore and REE-bearing minerals by leaching and ion exchange separation,"Nicolas Reynier, Maxime Courchesne, Laurence Whitty Leveille, JF Fiset, Cheryl Laviolette, ",2018-03-13
Conference Proceedings,The Reasibility of Separation or Rare Earth Elements by Use of Electrodialysis,"Sanaz Mosadeghsedghi, Saviz Mortazavi, Maziar Sauber",2018-03-12
Conference Proceedings,Separation of Rare-Earth Elements from Process Leachates by Use of Electrodialysis,Sanaz Mosadeghsedghi,2018-02-20
Conference Proceedings,Treatment of acid-generating mine tailings using different types of organic waste - I) paper mill biosolids ,"Sean Langley and Suzanne Beauchemin, Bryan Tisch",2018-02-15
Conference Proceedings,Treatment of acid-generating mine tailings using different types of organic waste - II) municipal biosolids ,"Sean Langley, Suzanne Beauchemin, Byran Tisch",2018-02-15
Conference Proceedings,Water management and EA - Best Available Technologies,Sanaz Mosadeghsedghi,2018-02-15
Conference Proceedings,Selective removal of U and Th from rare earth elements leaching solution using magnetic solid-phase extraction,"Laurence Whitty Leveillé, Nicolas Reynier, Dominic Larivière",2017-11-30
Conference Proceedings,Improving Energy Performance in the Mining Sector using the NRCan Benchmarking Program,Michelle Levesque,2017-11-17
Conference Proceedings,Update of Canadian Rare Earths Projects and Technological Trends,"M. Sauber, J. Zinck",2017-11-17
Conference Proceedings,NaOH–assisted direct reduction of Ring of Fire chromites and the associated implications for processing,Samira Sokhanvaran,2017-11-16
Conference Proceedings,Oxidative Removal of Cerium from Rare Earth Elements Mixed Chloride Solution ,Maziar Sauber,2017-11-14
Conference Proceedings,Radionuclides removal from ore and REE-bearing minerals by ion exchange separation,"N. Reynier, M. Courchesne, L. Whitty Leveille, JF. Fiset, C. Laviolette, J.Zinck",2017-11-09
Conference Proceedings,Managing Orphaned and Abandoned Mines - A Canadian Perspective,"Charlene Hogan, G. Tremblay",2017-10-04
Conference Proceedings,Clean Energy Transition for the Mining Industry,"Michelle Levesque, Marc Bétournay",2017-09-26
Conference Proceedings,A study on Direct Oxalate Precipitation for REE Recovery from a Lowgrade REE Pregnant Solution,"C. Xia, W. Griffith",2017-09-08
Conference Proceedings,Measuring baseline energy productivity of mining and milling,Michelle Levesque,2017-06-29
Conference Proceedings,Carbothermic Direct Reduction of Chromite Using a Segregation Catalyst for the Production of Ferrochrome,"Dawei Yu, Dogan Paktunc",2017-06-20
Conference Proceedings,Geomicrobiology in acidic mine tailings under different reclamation scenarios ,"Suzanne Beauchemin, Sean Langley, Joyce Clemente",2017-06-14
Conference Proceedings,Solutions émergentes et alternatives au diesel ,Gilles Leblanc,2017-05-18
Conference Proceedings,Alternative au diesel dans les mines souterraines,André Harvey,2017-05-16
Conference Proceedings,Challenges in Concentrating Rate Earth Minerals,"Tesfaye Negeri, Micheline Boisclair",2017-04-11
Conference Proceedings,The Effect of Fluxing Agent on Direct Reduction of Chromite,"Samir Sokhanvaran, Dogan Paktunc",2017-03-22
Conference Proceedings,"Water in Gold, Nickel and Copper Minerals Flotation","Maziar Sauber, Saviz Mortazavi, Sean Langley",2017-03-17
Conference Proceedings,Chemical Softening of the Oil Sands Produced Water  ,Saviz Mortazavi,2017-02-15
Conference Proceedings,Evaluation of Performance of Industrial Spiral-Wound Reverse Osmosis Membranes for Treatment of Oil Sands Produced Water ,Saviz Mortazavi,2017-02-15
Conference Proceedings,Stirred-tank bioleaching of pyrrhotite tailings and nickel recovery,"Rory Cameron, Rolando Lastra, Yves Thibault,Lucie Morin",2017-02-07
Conference Proceedings,"Frictional properties of rocks as a function of rock type, specimen size and confining pressure ",Denis Labrie,2017-02-03
Conference Proceedings,"BIOSOLIDS, BIOMASS, BIOENERGY AND RAPID RECLAMATION OF TAILINGS ","Bryan Tisch, Suzanne Beauchemin, Joyce Clemente, Sean Langley",2017-01-11
Conference Proceedings,Ultrasonic monitoring of rockbolt conditions ,Renée Royer,2016-11-07
Conference Proceedings,Pilot-Scale Assessment of Vacuum Membrane Distillation for Treatment of Mine Effluent and Acidic Drainage,Saviz Mortazavi,2016-10-19
Conference Proceedings,Breaking down energy consumption in industrial grinding mills ,Gilles Leblanc,2016-10-14
Conference Proceedings,Canadian Rare Earth Elements R&D Program: Model of Collaboration,Janice Zinck,2016-09-15
Conference Proceedings,The CMIC / CanmetMINES Comminution Energy Recovery Potential Initiative – the Agnico Eagle,Gilles Leblanc,2015-09-03
Conference Proceedings,Presentation,"Cote, Martin",2015-04-28
Conference Proceedings,Metal Sequestration is Influenced by Biochar Properties and Changes in pH,"Beauchemin, Suzanne",2015-03-11
Conference Proceedings,Acti-Gel®208 as an Additive for Paste and Hydraulic Backfill,"Tarr, Kristie",2015-03-06
Conference Proceedings,The Canadian MEND program the first Twenty-five years,"Tremblay, Gilles",2015-02-26
Conference Proceedings,Résistance mécanique et pressions de fracturation de quelques matériaux rocheux sédemintaires typiques,"Labrie, Denis",2015-01-06
Conference Proceedings,Résistance mécanique et pressions de fracturation de quelques matériaux rocheux sédimentaires typiques,"Labrie, Denis",2015-01-05
Conference Proceedings,Column Leaching of Rare Earth Elements from a Black Shale,"Cameron, Rory",2014-10-14
Conference Proceedings,Sensitivity Study on Ventilation Parameter Changes in Mine Ventilation Systems,"Li, Gary",2014-08-27
Conference Proceedings,"Method Development and Validation for the Determination of Fe, Nb and Rare Earth Elements in Various REE Bearing Minerals","Wang, Ruiping",2014-07-31
Conference Proceedings,Metal Sequestration is Influenced by Biochar Properties and Changes in pH,"Clemente, Joyce",2014-07-29
Conference Proceedings,Heat Acclimation – Measurement of Induction Benefits and Subsequent Non-exposure Decay,"Hardcastle, Stephen",2014-07-28
Conference Proceedings,"Optimization and validation of a chemical process for uranium, mercury and cesium leaching from cemented radioactive wastes","Reynier, Nicolas",2014-05-05
Conference Proceedings,Advances in Process Development for Beneficiation and Extraction of Rare Earths for GeoMega's Montviel Carbonaceous Ore,"Negeri, Tesfaye",2014-04-23
Conference Proceedings,Pathway Mapping of Airflow Delivery to the Production Areas in Underground Mine Ventilation Systems,"Li, Gary",2014-04-23
Conference Proceedings,Feasibility of Acti-gel® as a Cost-effective Additive for Underground Mine Hydraulic Backfill Applications,"K. Tarr, I. Bedard",2014-02-24
Conference Proceedings,The Effect of Diesel Oxidation Catalysts on NO2 Emission from Mining Vehicles,M. Gangal,2014-02-19
Conference Proceedings,"Bioaccessibility of Lead, Zinc, Cobalt and Selenium in House Dust",S. Beauchemin,2013-11-18
Conference Proceedings,Feasibility of Tailings Reclamation for Underground Paste and Hydraulic Backfill Applications,K. Tarr and A. Pratt,2013-07-24
Conference Proceedings,A Review on Iron Separation in Rare Earths Hydrometallurgy using Precipitation and Solvent Extractions Methods,C. Xia,2013-07-18
Conference Proceedings,Effects of DOCs on NO Production from mining diesel equipment,M. Gangal,2013-04-17
Internal technical report,Enhancement of VREX Program for Evaluating the VOD system and Operational Strategies to Reduce Ventilation Costs ,Gary Li,2021-02-10
Internal technical report,"REE metal, alloy, magnet-making webinar summary report",Eliza Ngai,2021-01-28
Internal technical report,Ground Support Corrosion:  Determining Potential Need for Canadian Industry,Clinton DeRushie,2020-12-08
Internal technical report,The Application of Machine Learning to the Secondary Grinding Circuit at Canadian Royalties-Progress Report 2,"Tony Di Feo, Nasseh Khodaie and Pengbo Chu",2020-07-17
Internal technical report,REE Y5 Annual Report - Chen Xia - Baking and Leaching,"Chen Xia, Wesley Griffith, Eden Barry",2020-06-23
Internal technical report,FY 2019 - 2020 Sales Review and the Proposed Next Production Plan for CCRMP,"Lyne Lortie, Diane Desroches and Maureen E. Leaver ",2020-05-29
Internal technical report,"REE Technical Workshop Report – May 26, 2020",Eliza Ngai,2020-05-26
Internal technical report,The Application of Machine Learning to the Secondary Grinding Circuit at Canadian Royalties-Progress Report 1,"Tony Di Feo, Nasseh Khodaie and Pengbo Chu",2020-05-25
Internal technical report,REE Y5 Annual Report - Tesfaye Negeri - Physical Processing,Tesfaye Negeri,2020-05-20
Internal technical report,Mining Stakeholder Survey Summary - Regulatory Bottlenecks and Opportunities for Improvement,Rawya Tsuji,2020-04-21
Internal technical report,"REE Y5 Annual Report - Nicholas Reynier - Combining Grinding, Leaching and Radionuclides Separation","Nicholas Reynier, Maxime Courchesne, Cheryl Laviolette, Magella Bilodeau, André Demers",2020-03-31
Internal technical report,REE Y5 Annual Report - REE Characterization,"Yves Thibault, Joanne Gamage McEvoy",2020-03-31
Internal technical report,REE Y5 Annual Report - Rory Cameron - Environment,"Rory Cameron, Mehdi Mostajeran, Nicolas Reynier, Jean-Michel Bondy",2020-03-31
Internal technical report,Year 5 REE Separation Year End Report,Maziar Sauber,2020-03-31
Internal technical report,CPB-3: Preparation of a certified reference material for a lead concentrate,Maureen E. Leaver and Lyne Lortie,2020-02-18
Internal technical report,Dec 2019 REE Technical Workshop Report,Eliza Ngai,2020-01-06
Internal technical report,Oxygen diffusion in saturated covers : Review and Methodology,"Reynier Nicolas, Gagné-Turcotte Roselyne, Nielsen Guillaume",2019-12-05
Internal technical report,Investigation of the frothing effects of Aero 6493,Pengbo Chu,2019-10-25
Internal technical report,Potential Climate Change Implications on Water Management and Structural Integrity of Water Retaining Infrastructures in the Canadian Mining Industry South of 60°,"Yanick Tremblay, Philippa Huntsman, Carrie Rickwood",2019-10-17
Internal technical report,Résultat de l’utilisation d’un câble synthétique pour le hissage minier à la mine Goldex - Addendum,Martin Cçoté,2019-08-30
Internal technical report,"Experimental Assessment of the Mechanical Properties of Class G Cement as a Part of the Wellbore Integrity Process: Part I, Unaltered samples and conditioned by N2",Nadia Shafie Zadeh,2019-08-09
Internal technical report,"Experimental Assessment of the Mechanical Properties of Class G Cement as a Part of the Wellbore Integrity Process: Part II, Conditioned samples by brine and impure CO2",Nadia Shafie Zadeh,2019-08-09
Internal technical report,The Feasibility of Separation of Light & Heavy REE using Electrodialysis,Maziar Sauber - Sanaz Mosadegh sadeghi- Soha Issa - Saviz Mortazavi,2019-07-05
Internal technical report,Dec 2018 Workshop Report - Progress in Developing a REE Industry in Canada,"Eliza Ngai, Bryan Tisch and Janice Zinck",2019-06-27
Internal technical report,May 2019 Workshop Report - Annual Technical Workshop Year 4,"Eliza Ngai, Bryan Tisch and Janice Zinck",2019-06-27
Internal technical report,Low Grade Rare Earth Ore Processing Alternatives,Tesfaye Negeri ,2019-02-28
Internal technical report,Physical Processing Year 3 Project Update,Tesfaye Negeri ,2019-02-27
Internal technical report,Y2 report early separation of Ce and La from REE mixed chloride solutions ,Maziar E. Sauber,2019-02-25
Internal technical report,Scale-up for task C and key elements recovery ,Nicolas Reynier,2019-02-05
Internal technical report,FY 2017 - 2018 Sales Review and the Proposed Next Production Plan for CCRMP,Maureen Leaver,2019-01-31
Internal technical report,Application of Modified Ceramic Membranes for Improved Treatment and Recycling of SAGD Produced Water ,Saviz Mortazavi,2019-01-22
Internal technical report,3D ROCK SIZE SENSOR – Phase II ,Magella Bilodeau,2019-01-21
Internal technical report,Increasing Energy Efficiency: Coarse Particle Flotation at Bagdad Operations (Progress Report 2),"T. Di Feo, R. Lastra",2018-12-12
Internal technical report,Increasing Energy Efficiency: Coarse Particle Flotation at Bagdad Operations (Progress Report 1),"T. Di Feo, R. Lastra",2018-10-29
Internal technical report,Proficiency Testing Program for Mineral Analysis Laboratories - April 2017 Cycle (Final Report),Diane Desroches,2018-09-20
Internal technical report,"Stress/Strain Redistribution around a Borehole Subjected to the One-Directional Load Analytical and Numerical approach,        Part II: Plastic",Nadia Shafie Zadeh,2018-08-28
Internal technical report,"Stress/Strain Redistribution around a Borehole Subjected to the One-Directional Load Analytical and Numerical approach,       Part I: ELASTIC",Nadia Shafie Zadeh,2018-08-28
Internal technical report,Matamec Coarse Particle Flotation,"T. Di Feo, T. Negeri",2018-07-20
Internal technical report,Result of the use of a synthetic rope for hoisting at the Goldex mine ,Martin Cote,2018-07-19
Internal technical report,REE-3 : Preparation of a certified reference material for an rare earth elements ore,"Maureen Leaver, Lyne Lortie",2018-06-20
Internal technical report,REE recovery from secondary sources - Year 3 progress report,Rory Cameron,2018-05-17
Internal technical report,Y3 report early separation of cerium from chloride solutions,Maziar E. Sauber,2018-05-14
Internal technical report,Effects of municipal biosolids application on biogeochemistry of Cu-Ni sulphide tailings under laboratory conditions,"Sean Langley, Suzanne Beauchemin ",2018-05-11
Internal technical report,"Cu and Ni solubility inVale oxidixed tailings as affected by oxalate additions at pH 2.5, 4 and 6","Suzanne Beauchemin, Sean Langley, Ted MacKinnon, Derek Smith",2018-05-01
Internal technical report,An Overview of New Development in Unconventional Gas and Tight Oil: Induced Seismicity Aspect and Its Environmental Impacts ,Nadia Shafie Zadeh,2018-04-17
Internal technical report,Progress Report 2017/2018: Fate and effects of metals in a changing cliamte - Year 2 progress report,"Carrie Rickwood, Philippa Huntsman-Mapila, Sean Langley",2018-04-04
Internal technical report,Development of a Laboratory Procedure for Testing Ground Support Surface Mesh ,Ian Bedard,2018-03-20
Internal technical report,Introduction to Digital Image Correlation (DIC) Technology,Ken Judge,2018-03-20
Internal technical report,Câbles en fibres symthétiques pour le hissage minier ,Martin Cote,2018-03-09
Internal technical report,Résultats de l’utilisation d’un câble synthétique pour le hissage miner à la mine Goldex ,Martin Cote,2018-03-09
Internal technical report,Comparative study of gold liberation by comminution using electric pulse disaggregation vs conventional comminution,"R Lastra, D. Smith, P. Nekoovaght",2018-03-05
Internal technical report,Context for the study of process water Glencore - Strathcona Operations,"Toni Di Feo, Sanaz Mosadeghsedghi, Saviz Mortazavi",2018-02-14
Internal technical report,Resin-impregnation method for preservation of intact tailings field cores to obtain depth-resolved characterization of textural and mineralogical properties,"Yves Thibault, Joanne Gamage McEvoy",2017-12-07
Internal technical report,Anaerobic incubation of pyrrhotite-rich Cu/Ni tailings with different nutrient amendments and water content (interim report). ,Joyce Clemente,2017-10-29
Internal technical report,PLAN DE RECHERCHE RELIÉ À L’INTRODUCTION DE LA FRAGMENTATION THERMIQUE DANS LES MINES,Gilles Leblanc,2017-10-19
Internal technical report,ASTM-D7401-18-Standard Test Methods for Laboratory Determination of Rock Anchor Capacities by Pull and Drop Tests ,Renée Royer,2017-10-02
Internal technical report,Assessing the impact of electrification of the metal mining sector on electricity demand,Michelle Levesque,2017-09-29
Internal technical report,Accelerated dissolution and solid-phase separation,"Nicolas Reynier, Cheryl Laviolette, Maxime Courchesne, Laurence Whitty Léveillé",2017-06-23
Internal technical report,Letter and results on the testing of the second generation on the ultrasonic sensors of NRC,"Renée Royer, Ted Anderson",2017-06-19
Internal technical report,"Sales Review for FY 2015-2016 and 2016 - 2017 for the Canadian Certified Reference Materials Project and Proficiency Testing Program – Mineral Analysis Laboratories, and Proposal for a Production Plan for Reference Materials  ","Diane Desroches, Lyne Lortie, Maureen Leaver",2017-06-19
Internal technical report,Integrating Climate Change Adaptation into Environmental Assessment,Philippa Huntsman-Mapila (Co-Author),2017-06-07
Internal technical report,Geochemical Evolution of Acidic Tailings After Organic Inputs: Lessons Learned at Vale,"Suzanne Beauchemin, Sean Langley, Ted MacKinnon, Yves Thibault, Joanne Gamage McEvoy",2017-05-16
Internal technical report,Applicability of Humic Acid in Stabilizing Waste Rock,"Y.T. John Kwong, Suzanne Beauchemin, Carrie Rickwood, Ted MacKinnon",2017-04-18
Internal technical report,Greenhouse Gas Emissions from Underground Mining Diesel Engines,"David Young, Brent Rubeli, Mahe Gangal",2017-04-04
Internal technical report,Sequential Extraction of Radium from Uranium Mine Tailings,"John Kwong, Jean Francois Fiset",2017-04-04
Internal technical report,IOC-1 Preparation of a certified reference material for an iron ore,Leaver Maureen and Lortie Lyne,2017-04-03
Internal technical report,Y2 report Hydrochloric Acid Regeneration from Barren Leach Solutions,Maziar E. Sauber,2017-04-03
Internal technical report,Atmospheric deposition of particulates and associated metals from mining activity : a review ,Carrie Rickwood ,2017-03-31
Internal technical report,Geomicrobiology of acidic tailings treated with different reclamation strategies,"Sean Langley and Suzanne Beauchemin, Lucie Morin",2017-03-31
Internal technical report,État de la technologie de la récupération de l’énergie à basse température,Gilles Leblanc,2017-03-30
Internal technical report,Developing an Energy Benchmarking Program for the Mining Sector,Michelle Levesque,2017-03-30
Internal technical report,IOC-1 : Preparation of a certified reference material  for an iron ore ,Maureen Leaver,2017-03-22
Internal technical report,"CanmetMINING - Canada Mining Innovation Council Water Management Workshop January 16, 2017",Saviz Mortazavi,2017-03-17
Internal technical report,Collector-mineral interactions in REE-orthophosphate systems: Proving crystal chemistry properties that impact selectivity,"Joanne Gamage McEvoy, Yves Thibault",2017-03-01
Internal technical report,Controlled dissolution experiments on natural and synthetic REE-ortophosphate crystallinge systems: an approach to identify interfacial processes promoting early fractionation of the REE,Yves Thibault Joanne Gamage McEvoy,2017-03-01
Internal technical report,Examining the Acute Toxicity of select Rare Earth Elements towards Northern Cultures of Daphnia pulex and standardized cultures of Daphnia magna ,Melissa Desforges,2017-02-02
Internal technical report,Iron Recovery From Tailings Using Biomass-based Technology: Technical Update ,Joanne Gamage McEvoy,2016-11-28
Internal technical report,Application of Ceramic Ultrafiltration membranes as a pre-treatment for Nanofiltration and Reverse Osmosis,Saviz Mortazavi,2016-10-19
Internal technical report,Application of Membrane Separation Technology to Mitigation of Mine Effluent and Acidic Drainage,Saviz Mortazavi,2016-10-19
Internal technical report,Assessment of different membrane processes for the treatment of mine effluent and acidic drainage,Saviz Mortazavi,2016-10-19
